"Domaine de formation","Canton de l'entreprise formatrice","Type de formation","Mode d'enseignement","Sexe","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Formation aux bibliothèques, à la documentation et à l'archivisme","Schwyz","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Schwyz","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Obwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Obwalden","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Obwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Obwalden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Nidwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Nidwalden","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Nidwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Nidwalden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Glarus","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Glarus","CFC","Dual","Sexe - total",1,1,1,1,1,1,1,1,1,1
"Formation aux bibliothèques, à la documentation et à l'archivisme","Glarus","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Glarus","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Zug","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Zug","CFC","Dual","Sexe - total",3,3,3,3,3,3,3,3,3,3
"Formation aux bibliothèques, à la documentation et à l'archivisme","Zug","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Zug","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Fribourg / Freiburg","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Fribourg / Freiburg","CFC","Dual","Sexe - total",10,9,7,5,3,2,6,7,10,11
"Formation aux bibliothèques, à la documentation et à l'archivisme","Fribourg / Freiburg","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Fribourg / Freiburg","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Solothurn","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Solothurn","CFC","Dual","Sexe - total",3,1,3,3,3,2,2,1,2,2
"Formation aux bibliothèques, à la documentation et à l'archivisme","Solothurn","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Solothurn","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Basel-Stadt","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Basel-Stadt","CFC","Dual","Sexe - total",17,17,16,17,16,18,15,14,14,19
"Formation aux bibliothèques, à la documentation et à l'archivisme","Basel-Stadt","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Basel-Stadt","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Basel-Landschaft","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Basel-Landschaft","CFC","Dual","Sexe - total",5,4,2,2,2,2,1,1,2,3
"Formation aux bibliothèques, à la documentation et à l'archivisme","Basel-Landschaft","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Basel-Landschaft","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Schaffhausen","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Schaffhausen","CFC","Dual","Sexe - total",3,5,3,3,3,3,3,4,4,4
"Formation aux bibliothèques, à la documentation et à l'archivisme","Schaffhausen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Schaffhausen","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Appenzell Ausserrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Appenzell Ausserrhoden","CFC","Dual","Sexe - total",1,1,1,1,1,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Appenzell Ausserrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Appenzell Ausserrhoden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Appenzell Innerrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Appenzell Innerrhoden","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Appenzell Innerrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Appenzell Innerrhoden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","St. Gallen","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","St. Gallen","CFC","Dual","Sexe - total",9,11,9,9,9,10,10,11,11,13
"Formation aux bibliothèques, à la documentation et à l'archivisme","St. Gallen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","St. Gallen","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Graubünden / Grigioni / Grischun","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Graubünden / Grigioni / Grischun","CFC","Dual","Sexe - total",3,3,4,4,4,3,4,4,3,2
"Formation aux bibliothèques, à la documentation et à l'archivisme","Graubünden / Grigioni / Grischun","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Graubünden / Grigioni / Grischun","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Aargau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Aargau","CFC","Dual","Sexe - total",6,7,6,7,7,8,6,6,7,9
"Formation aux bibliothèques, à la documentation et à l'archivisme","Aargau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Aargau","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Thurgau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Thurgau","CFC","Dual","Sexe - total",1,1,2,2,2,2,2,2,2,2
"Formation aux bibliothèques, à la documentation et à l'archivisme","Thurgau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Thurgau","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Ticino","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Ticino","CFC","Dual","Sexe - total",8,9,8,4,8,8,9,9,8,8
"Formation aux bibliothèques, à la documentation et à l'archivisme","Ticino","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Ticino","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Vaud","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Vaud","CFC","Dual","Sexe - total",34,34,32,32,30,29,31,32,35,31
"Formation aux bibliothèques, à la documentation et à l'archivisme","Vaud","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Vaud","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Valais / Wallis","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Valais / Wallis","CFC","Dual","Sexe - total",17,19,17,16,21,14,19,18,16,16
"Formation aux bibliothèques, à la documentation et à l'archivisme","Valais / Wallis","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Valais / Wallis","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Neuchâtel","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Neuchâtel","CFC","Dual","Sexe - total",18,19,18,15,15,17,17,16,15,14
"Formation aux bibliothèques, à la documentation et à l'archivisme","Neuchâtel","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Neuchâtel","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Genève","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Genève","CFC","Dual","Sexe - total",29,28,28,30,31,32,27,32,31,32
"Formation aux bibliothèques, à la documentation et à l'archivisme","Genève","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Genève","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Jura","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Jura","CFC","Dual","Sexe - total",9,7,8,10,10,9,10,9,8,10
"Formation aux bibliothèques, à la documentation et à l'archivisme","Jura","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Formation aux bibliothèques, à la documentation et à l'archivisme","Jura","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Suisse","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Suisse","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Suisse","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Suisse","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Zürich","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Zürich","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Zürich","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Zürich","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Bern / Berne","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Bern / Berne","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Bern / Berne","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Bern / Berne","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Luzern","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Luzern","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Luzern","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Luzern","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Uri","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Uri","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Uri","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Uri","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Schwyz","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Schwyz","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Schwyz","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Schwyz","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Obwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Obwalden","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Obwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Obwalden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Nidwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Nidwalden","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Nidwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Nidwalden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Glarus","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Glarus","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Glarus","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Glarus","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Zug","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Zug","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Zug","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Zug","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Fribourg / Freiburg","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Fribourg / Freiburg","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Fribourg / Freiburg","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Fribourg / Freiburg","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Solothurn","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Solothurn","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Solothurn","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Solothurn","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Basel-Stadt","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Basel-Stadt","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Basel-Stadt","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Basel-Stadt","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Basel-Landschaft","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Basel-Landschaft","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Basel-Landschaft","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Basel-Landschaft","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Schaffhausen","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Schaffhausen","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Schaffhausen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Schaffhausen","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Appenzell Ausserrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Appenzell Ausserrhoden","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Appenzell Ausserrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Appenzell Ausserrhoden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Appenzell Innerrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Appenzell Innerrhoden","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Appenzell Innerrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Appenzell Innerrhoden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","St. Gallen","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","St. Gallen","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","St. Gallen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","St. Gallen","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Graubünden / Grigioni / Grischun","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Graubünden / Grigioni / Grischun","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Graubünden / Grigioni / Grischun","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Graubünden / Grigioni / Grischun","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Aargau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Aargau","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Aargau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Aargau","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Thurgau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Thurgau","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Thurgau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Thurgau","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Ticino","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Ticino","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Ticino","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Ticino","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Vaud","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Vaud","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Vaud","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Vaud","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Valais / Wallis","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Valais / Wallis","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Valais / Wallis","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Valais / Wallis","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Neuchâtel","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Neuchâtel","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Neuchâtel","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Neuchâtel","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Genève","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Genève","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Genève","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Genève","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Jura","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Jura","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Jura","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Commerce et administration non définis","Jura","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Suisse","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Suisse","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,102,249
"Gestion et administration","Suisse","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Suisse","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Zürich","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Zürich","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,31,82
"Gestion et administration","Zürich","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Zürich","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Bern / Berne","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Bern / Berne","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,23,60
"Gestion et administration","Bern / Berne","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Bern / Berne","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Luzern","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Luzern","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,5,13
"Gestion et administration","Luzern","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Luzern","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Uri","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Uri","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Uri","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Uri","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Schwyz","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Schwyz","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,1
"Gestion et administration","Schwyz","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Schwyz","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Obwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Obwalden","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Obwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Obwalden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Nidwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Nidwalden","CFC","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Nidwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Gestion et administration","Nidwalden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
