"No. SD"	"Nom F"	"SB-Code"	"Créé le"	"Modifié le"
"0.440.7.0"	"Électricien/ne chef/fe de projet en installation et sécurité (BF)"	""	"04.03.2003"	"04.06.2020"	
"0.440.103.0"	"Électricien/ne chef/fe de projet en planification (BF)"	""	"19.06.2017"	"04.06.2020"	
"0.440.36.0"	"Électricien/ne de montage CFC"	""	"29.07.1996"	"04.06.2020"	
"0.440.64.1"	"Électricien/ne de réseau (BF), abr. 2005"	""	"16.01.2006"	"04.06.2020"	
"0.440.40.1"	"Électricien/ne de réseau (Énergie) CFC"	""	"01.07.2015"	"04.06.2020"	
"0.440.40.3"	"Électricien/ne de réseau (Lignes de contact) CFC"	""	"01.07.2015"	"23.12.2022"	
"0.440.40.2"	"Électricien/ne de réseau (Télécommunications) CFC"	""	"01.07.2015"	"04.06.2020"	
"0.440.40.0"	"Électricien/ne de réseau CFC"	""	"04.11.1991"	"23.12.2022"	
"0.440.4.1"	"Employé/e d'exploitation (CFC, règl. ct ZH), abr. 2007"	""	"27.09.2005"	"16.01.2014"	
"0.440.95.0"	"Employé/e d'exploitation AFP"	""	"19.09.2013"	"24.11.2014"	
"0.440.9.0"	"Expert/e en installation et sécurité électrique dipl. (DF)"	""	"04.11.1991"	"22.01.2018"	
"0.440.59.0"	"Expert/e en planification électrique dipl. (DF)"	""	"04.03.2003"	"01.02.2018"	
"0.440.34.0"	"Exploitant/e de station d'épuration (BF)"	""	"30.07.2003"	"29.05.2013"	
"0.440.47.0"	"Ferblantier/ière CFC"	""	"04.11.1991"	"23.01.2008"	
"0.440.46.0"	"Ferblantier/ière-installateur/trice sanitaire (CFC), abr. 2007"	""	"04.11.1991"	"19.05.2009"	
"0.440.70.0"	"Fontainier/ière (BF)"	""	"21.10.1999"	"22.08.2013"	
"0.440.72.0"	"Gardien/ne d'immeuble (DF)"	""	"16.06.2005"	"21.06.2005"	
"0.440.77.0"	"Gestionnaire de conduites d'amenée d'eau (ct. TI)"	""	"05.03.2009"	"14.03.2012"	
"0.440.53.3"	"Informaticien/ne du bâtiment (Automatisation du bâtiment) CFC"	""	"13.08.2019"	"22.12.2020"	
"0.440.53.4"	"Informaticien/ne du bâtiment (Communication et multimédia) CFC"	""	"13.08.2019"	"22.12.2020"	
"0.440.53.2"	"Informaticien/ne du bâtiment (Planification) CFC"	""	"13.08.2019"	"22.12.2020"	
"0.440.53.0"	"Informaticien/ne du bâtiment CFC"	""	"10.05.2000"	"22.12.2020"	
"0.440.28.3"	"Ingénieur/e HES en chauffage"	""	"11.12.2003"	"30.11.2010"	
"0.440.28.4"	"Ingénieur/e HES en génie climatique"	""	"06.04.2004"	"18.08.2010"	
"0.440.28.0"	"Ingénieur/e HES en technique des bâtiments"	""	"17.06.1996"	"12.03.2008"	
"0.440.26.0"	"Installateur/trice en chauffage CFC"	""	"04.11.1991"	"05.02.2008"	
"0.440.20.2"	"Installateur/trice en technique du bâtiment dipl. (sanitaire) (DF), abr. 2007"	""	"22.08.2007"	"25.02.2008"	
"0.440.20.1"	"Installateur/trice sanitaire (BF), abr. 1997"	""	"11.12.2003"	"09.02.2006"	
"0.440.43.1"	"Installateur/trice sanitaire (CFC), abr. 1994"	""	"11.12.2003"	"17.03.2006"	
"0.440.43.0"	"Installateur/trice sanitaire CFC"	""	"04.11.1991"	"05.02.2008"	
"0.440.112.0"	"Installateur/trice solaire CFC"	""	"09.11.2022"	"13.09.2023"	
"0.440.19.1"	"Installateur/trice technique en chauffage dipl. (DF), abr. 2007"	""	"23.08.2007"	"23.08.2007"	
"0.440.1.0"	"Installateur/trice-électricien/ne CFC"	""	"04.11.1991"	"12.04.2007"	
"0.440.9.1"	"Installateur/trice-électricien/ne dipl. (DF), abr. 2017"	""	"13.06.2017"	"22.01.2018"	
"0.440.88.0"	"Installations, entretien (bâtiment) (divers)"	""	"26.01.2011"	""	
"0.440.68.0"	"Maître calorifugeur/euse-tôlier/ière (DF), abr. 2019"	""	"04.11.1991"	"30.07.2019"	
"0.440.19.0"	"Maître chauffagiste (DF)"	""	"21.10.1999"	"23.08.2007"	
"0.440.63.0"	"Maître électricien/ne de réseau dipl. (DF)"	""	"04.11.1991"	"23.02.2015"	
"0.440.105.0"	"Maître en planification dans la thermique du bâtiment (DF)"	""	"24.01.2020"	"02.02.2022"	
"0.440.48.0"	"Maître ferblantier/ière (DF)"	""	"04.11.1991"	"23.02.2015"	
"0.440.61.0"	"Maître ramoneur/euse (DF)"	""	"04.11.1991"	"11.09.2014"	
"0.440.20.0"	"Maître sanitaire (DF)"	""	"21.10.1999"	"22.08.2007"	
"0.440.2.0"	"Monteur/euse d'ascenseurs"	""	"04.11.1991"	"26.03.2009"	
"0.440.35.1"	"Monteur/euse d'installations de ventilation (CFC), abr. 1996"	""	"11.12.2003"	"31.05.2011"	
"0.440.113.1"	"Monteur/euse de réseaux de tuyauterie (Eau potable) CFC, planifié"	""	"18.02.2026"	"18.02.2026"	
"0.440.113.2"	"Monteur/euse de réseaux de tuyauterie (Gaz naturel) CFC, planifié"	""	"18.02.2026"	"18.02.2026"	
"0.440.113.3"	"Monteur/euse de réseaux de tuyauterie (Réseaux thermiques) CFC, planifié"	""	"18.02.2026"	"18.02.2026"	
"0.440.113.0"	"Monteur/euse de réseaux de tuyauterie CFC"	""	"18.02.2026"	"18.02.2026"	
"0.440.42.0"	"Monteur/euse de réseaux eau et gaz (BF)"	""	"01.02.1994"	"14.05.2007"	
"0.440.26.1"	"Monteur/euse en chauffage (CFC), abr. 2007"	""	"23.01.2008"	"02.02.2008"	
"0.440.42.1"	"Monteur/euse en tuyauterie (BF), abr. 2006"	""	"14.05.2007"	"14.05.2007"	
"0.440.31.0"	"Monteur/euse frigoriste CFC"	""	"04.11.1991"	"15.11.2011"	
"0.440.43.2"	"Monteur/euse sanitaire (CFC), abr. 2007"	""	"23.01.2008"	"02.02.2008"	
"0.440.111.0"	"Monteur/euse solaire AFP"	""	"09.11.2022"	"13.09.2023"	
"0.440.1.3"	"Monteur/euse-électricien/ne (CFC), abr. 2007"	""	"23.01.2007"	"30.01.2007"	
"0.440.31.1"	"Monteur/euse-frigoriste (CFC), abr. 2011"	""	"14.11.2011"	"15.11.2011"	
"0.440.16.0"	"Nettoyeur/euse de bâtiments dipl. (DF)"	""	"17.06.1996"	"16.08.2012"	
"0.440.17.1"	"Nettoyeur/euse en bâtiment (CFC), abr. 2010"	""	"21.10.2010"	"26.10.2010"	
"0.440.7.1"	"Planificateur/trice-électricien/ne (BF), abr. 2003"	""	"11.12.2003"	"08.03.2006"	
"0.440.11.0"	"Planificateur/trice-électricien/ne CFC"	""	"04.11.1991"	"08.02.2023"	
"0.440.59.1"	"Planificateur/trice-électricien/ne dipl. (DF), abr. 2017"	""	"19.06.2017"	"22.01.2018"	
"0.440.82.0"	"Projeteur/euse d'installations en chauffage (DF), abr. 1997"	""	"01.12.2009"	"08.12.2009"	
"0.440.79.2"	"Projeteur/euse en technique du bâtiment (orientation Chauffage) (CFC), abr. 2009"	""	"20.11.2009"	"16.01.2014"	
"0.440.81.2"	"Projeteur/euse en technique du bâtiment (orientation Installations sanitaires) (CFC), abr. 2009"	""	"20.11.2009"	"16.01.2014"	
"0.440.21.6"	"Projeteur/euse en technique du bâtiment (orientation Réfrigération) (CFC), abr. 2011"	""	"27.09.2005"	"16.01.2014"	
"0.440.80.2"	"Projeteur/euse en technique du bâtiment (orientation Ventilation) (CFC), abr. 2009"	""	"20.11.2009"	"16.01.2014"	
"0.440.79.0"	"Projeteur/euse en technique du bâtiment chauffage CFC"	""	"17.11.2009"	"18.04.2023"	
"0.440.22.0"	"Projeteur/euse en technique du bâtiment dipl. (chauffage) (DF), abr. 2007"	""	"21.10.1999"	"22.08.2007"	
"0.440.23.2"	"Projeteur/euse en technique du bâtiment dipl. (sanitaire) (DF), abr. 2007"	""	"25.02.2008"	"25.02.2008"	
"0.440.81.0"	"Projeteur/euse en technique du bâtiment sanitaire CFC"	""	"17.11.2009"	"18.04.2023"	
"0.440.80.0"	"Projeteur/euse en technique du bâtiment ventilation CFC"	""	"17.11.2009"	"18.04.2023"	
"0.440.21.0"	"Projeteur/euse frigoriste CFC"	""	"19.01.2000"	"02.04.2012"	
"0.440.23.0"	"Projeteur/euse sanitaire (DF)"	""	"21.10.1999"	"11.01.2010"	
"0.440.32.1"	"Ramoneur/euse (Maintenance et nettoyage d'installations de ventilation) CFC"	""	"26.08.2021"	"27.07.2022"	
"0.440.32.2"	"Ramoneur/euse (Réalisation de mesures et de contrôles d'hygiène de l'air et d'énergie sur des installations thermiques) CFC"	""	"26.08.2021"	"27.07.2022"	
"0.440.32.0"	"Ramoneur/euse CFC"	""	"04.11.1991"	"27.07.2022"	
"0.440.18.0"	"Responsable des services de propreté (BF)"	""	""	"11.07.2023"	
"0.440.25.1"	"Réviseur/euse de citernes à mazout (BF), abr. 2010"	""	"30.08.2010"	"30.08.2010"	
"0.440.66.1"	"Solarteur/e"	""	"17.09.2013"	"18.09.2013"	
"0.440.44.0"	"Spécialiste de la sécurité dans les institutions de santé et du social (BF)"	""	"29.07.1996"	"18.01.2011"	
"0.440.64.0"	"Spécialiste de réseau (BF)"	""	"04.11.1991"	"16.08.2012"	
"0.440.102.0"	"Spécialiste en aération douce (BF)"	""	"07.07.2016"	"05.01.2017"	
"0.440.14.1"	"Spécialiste en brûleurs (BF), abr. 2004"	""	"22.11.2005"	"11.01.2006"	
"0.440.14.2"	"Spécialiste en combustion (BF), abr. 2013"	""	"22.11.2012"	"26.02.2013"	
"0.440.66.0"	"Spécialiste en installations solaires"	""	"04.11.1991"	"02.02.2005"	
"0.440.18.1"	"Spécialiste en nettoyage de bâtiments (BF), abr. 2023"	""	"03.01.2023"	"11.07.2023"	
"0.440.14.0"	"Spécialiste en systèmes thermiques (BF)"	""	"04.11.1991"	"27.05.2013"	
"0.440.14.3"	"Spécialiste en thermique (BF), abr. 2016"	""	"27.05.2013"	"25.04.2016"	
"0.440.67.0"	"Spécialiste en thermique et combustion dipl. (DF), abr. 2009"	""	"01.02.1994"	"06.01.2010"	
"0.440.25.0"	"Spécialiste pour la sécurité des citernes (BF)"	""	"04.11.1991"	"30.08.2010"	
"0.440.51.1"	"Technicien/ne dipl. ES en chauffage, abr."	""	"11.12.2003"	"23.04.2020"	
"0.440.51.5"	"Technicien/ne dipl. ES en gestion énergétique, abr."	""	"29.03.2007"	"23.04.2020"	
"0.440.51.10"	"Technicien/ne dipl. ES en installation sanitaire, abr."	""	"03.04.2007"	"23.04.2020"	
"0.440.51.0"	"Technicien/ne dipl. ES en technique des bâtiments"	""	"08.11.1999"	"30.11.2022"	
"0.440.51.11"	"Technicien/ne dipl. ES en technique des bâtiments (spécialisation Chauffage, ventilation, climatisation, froid, sanitaire CVCFS), abr. 2022"	""	"16.08.2011"	"07.12.2022"	
"0.440.51.13"	"Technicien/ne dipl. ES en technique des bâtiments (spécialisation CVS (chauffage / ventilation / sanitaire)), abr."	""	"20.09.2021"	"07.12.2022"	
"0.440.110.1"	"Technicien/ne dipl. ES en technique des bâtiments (spécialisation Domotique), abr. 2022"	""	"09.11.2022"	"07.12.2022"	
"0.440.110.3"	"Technicien/ne dipl. ES en technique des communications, abr."	""	"19.12.2022"	"19.12.2022"	
"0.440.110.2"	"Technicien/ne dipl. ES en télécommunications, abr. 2022"	""	"19.12.2022"	"19.12.2022"	
"0.440.110.4"	"Technicien/ne dipl. ES en télématique, abr."	""	"19.12.2022"	"19.12.2022"	
"0.440.51.3"	"Technicien/ne dipl. ES en ventilation/climatisation, abr."	""	"11.12.2003"	"23.04.2020"	
"0.440.51.9"	"Technicien/ne en bâtiment dipl. ES, abr."	""	"29.03.2007"	"29.09.2021"	
"0.440.75.0"	"Technicien/ne frigoriste (BF)"	""	"07.05.2007"	"20.03.2024"	
"0.440.92.4"	"Technologue en assainissement (Assainissement des installations d'évacuation des eaux) CFC"	""	"02.07.2015"	"22.12.2023"	
"0.440.92.3"	"Technologue en assainissement (Contrôle des installations d'évacuation des eaux) CFC"	""	"02.07.2015"	"22.12.2023"	
"0.440.92.2"	"Technologue en assainissement (Entretien des installations d'évacuation des eaux) CFC"	""	"02.07.2015"	"22.12.2023"	
"0.440.92.0"	"Technologue en assainissement CFC"	""	"23.01.2013"	"16.10.2013"	
"0.440.53.1"	"Télématicien/ne CFC, abr. 2021"	""	"13.08.2019"	"22.12.2020"	
"0.440.56.0"	"Télématicien/ne chef/fe de projet (BF)"	""	"04.03.2003"	"26.08.2025"	
"0.440.6.0"	"Télématicien/ne dipl. (DF)"	""	"04.03.2003"	"26.08.2025"	
"0.440.56.1"	"Télématicien/ne-électricien/ne (BF), abr. 2003"	""	"11.12.2003"	"19.01.2005"	
"0.440.27.0"	"Thermiste (BF)"	""	"04.11.1991"	"23.03.2009"	
"0.450.0.0"	"Aménagements d'intérieurs, décoration d'intérieurs"	""	"29.10.1991"	"17.01.2011"	
"0.450.65.0"	"Aide-carreleur/euse AFP"	""	"16.11.2009"	"13.10.2010"	
"0.450.56.3"	"Aide-menuisier/ière (Fabrication de fenêtres) AFP"	""	"22.06.2015"	"29.06.2015"	
"0.450.56.2"	"Aide-menuisier/ière (Menuiserie) AFP"	""	"22.06.2015"	"29.06.2015"	
"0.450.56.0"	"Aide-menuisier/ière AFP"	""	"05.04.2005"	"06.03.2007"	
"0.450.77.0"	"Aide-peintre AFP"	""	"18.09.2013"	"18.08.2014"	
"0.450.76.0"	"Aide-plâtrier/ière AFP"	""	"18.09.2013"	"18.08.2014"	
"0.450.79.0"	"Aide-vitrier/ière AFP"	""	"04.12.2025"	"04.12.2025"	
"0.450.68.0"	"Aménagements d'intérieurs, décoration d'intérieurs (divers)"	""	"26.01.2011"	""	
"0.450.8.0"	"Architecte d'intérieur HES"	""	"10.02.2000"	"23.09.2015"	
"0.450.58.0"	"Assistant/e-constructeur/trice de sols industriels et de chapes AFP"	""	"11.06.2007"	"18.04.2023"	
"0.450.28.0"	"Carreleur/euse CFC"	""	"04.11.1991"	"13.10.2010"	
"0.450.34.10"	"Charron/ne (CFC), abr. 2013"	""	"20.09.2013"	"24.09.2013"	
"0.450.29.0"	"Chef/fe carreleur/euse (BF)"	""	"23.08.2000"	"21.05.2026"	
"0.450.60.0"	"Chef/fe de chantier - plâtrier/ière constructeur/trice à sec FRMPP"	""	"03.09.2008"	"15.11.2011"	
"0.450.59.0"	"Chef/fe de chantier FREPP (plâtrerie-peinture)"	""	"03.09.2008"	"23.07.2020"	
"0.450.33.0"	"Chef/fe de production en menuiserie/ébénisterie (BF)"	""	"04.11.1991"	"21.09.2015"	
"0.450.69.1"	"Chef/fe de projet en aménagement d'intérieur (BF), abr. 2015"	""	"10.09.2014"	"28.06.2018"	
"0.450.69.0"	"Chef/fe de projet en menuiserie/ébénisterie (BF)"	""	"28.11.2012"	"21.09.2015"	
"0.450.70.0"	"Chef/fe de projet verre (BF)"	""	"26.02.2013"	"03.08.2015"	
"0.450.4.0"	"Chef/fe poseur/euse de revêtements de sols (BF)"	""	""	"23.02.2015"	
"0.450.6.2"	"Conseiller/ère en aménagement intérieur (BF), abr. 2019"	""	"28.05.2019"	"20.08.2019"	
"0.450.7.0"	"Conseiller/ère Feng Shui"	""	"17.07.2001"	"02.02.2005"	
"0.450.34.9"	"Constructeur/trice de skis (CFC, règl. ct. LU), abr. 2013"	""	"20.09.2013"	"19.06.2017"	
"0.450.17.0"	"Constructeur/trice de sols industriels et de chapes CFC"	""	"20.06.2000"	"18.04.2023"	
"0.450.62.1"	"Contremaître/esse couleur (BF), abr. 2013"	""	"05.07.2013"	"07.01.2014"	
"0.450.66.0"	"Contremaître/esse de construction de sols industriels et de chapes (BF), abr. 2017"	""	"08.06.2010"	"28.06.2018"	
"0.450.67.0"	"Contremaître/esse en plâtrerie et en technique d’isolation (BF)"	""	"19.10.2010"	"02.05.2024"	
"0.450.33.1"	"Contremaître/esse menuisier/ière / Contremaître/esse ébéniste (BF), abr. 2015"	""	"28.11.2012"	"22.09.2014"	
"0.450.62.0"	"Contremaître/esse peintre (BF)"	""	"25.08.2009"	"07.01.2014"	
"0.450.59.1"	"Contremaître/esse peintre FRMPP"	""	"05.03.2009"	"19.10.2009"	
"0.450.67.2"	"Contremaître/esse plâtrier/ière-constructeur/trice à sec (BF), abr. 2024"	""	"06.02.2024"	"02.05.2024"	
"0.450.54.0"	"Contremaître/esse vitrier/ière (BF)"	""	"01.04.2004"	"01.02.2018"	
"0.450.23.0"	"Courtepointier/ière CFC"	""	"04.11.1991"	"07.06.2019"	
"0.450.52.0"	"Courtepointier/ière dipl. (DF), abr. 2016"	""	"04.11.1991"	"05.05.2021"	
"0.450.64.0"	"Couturier/ière d'intérieur AFP"	""	"20.10.2009"	"03.12.2025"	
"0.450.19.2"	"Créateur/trice de textiles d'intérieurs (BF), abr. 2025"	""	"04.11.2025"	"04.11.2025"	
"0.450.19.1"	"Décorateur/trice d'intérieurs (BF), abr. 2023"	""	"26.04.2023"	"27.06.2023"	
"0.450.21.8"	"Décorateur/trice d'intérieurs (CFC), abr. 2020"	""	"17.10.2018"	"20.09.2019"	
"0.450.21.3"	"Décorateur/trice d'intérieurs (orientation Montage) (CFC), abr. 2020"	""	"27.09.2005"	"20.09.2019"	
"0.450.21.6"	"Décorateur/trice d'intérieurs (orientation Papiers-peints) (CFC), abr. 2020"	""	"27.09.2005"	"20.09.2019"	
"0.450.21.1"	"Décorateur/trice d'intérieurs (orientation Rembourrage) (CFC), abr. 2020"	""	"27.09.2005"	"20.09.2019"	
"0.450.21.2"	"Décorateur/trice d'intérieurs (orientation Revêtement de sols) (CFC), abr. 2020"	""	"27.09.2005"	"20.09.2019"	
"0.450.21.4"	"Décorateur/trice d'intérieurs (orientation Rideaux) (CFC), abr. 2020"	""	"27.09.2005"	"20.09.2019"	
"0.450.21.5"	"Décorateur/trice d'intérieurs (orientation Sellerie) (CFC), abr. 2020"	""	"27.09.2005"	"20.09.2019"	
"0.450.20.5"	"Décorateur/trice d'intérieurs dipl. (DF), abr. 2023"	""	"26.04.2023"	"28.06.2023"	
"0.450.34.5"	"Ébéniste (Ébénisterie) CFC"	""	"27.09.2005"	"04.06.2020"	
"0.450.34.0"	"Ébéniste CFC, Menuisier/ière CFC"	""	"04.11.1991"	"04.06.2020"	
"0.450.61.0"	"Ensemblier/ière-décorateur/trice"	""	"21.07.2009"	"30.11.2009"	
"0.450.47.2"	"Expert/e en constructions techniverrières dipl. (DF), abr. 2015"	""	"26.02.2013"	"05.08.2015"	
"0.450.31.0"	"Garnisseur/euse de meubles CFC"	""	"04.05.2003"	"25.11.2010"	
"0.450.43.0"	"Garnisseur/euse de meubles industriels (BF)"	""	"24.04.2003"	"08.03.2011"	
"0.450.45.0"	"Garnisseur/euse de meubles spécialisé/e (BF), abr. 2020"	""	"08.11.2001"	"14.04.2020"	
"0.450.30.0"	"Maître carreleur/euse (DF)"	""	"04.11.1991"	"23.02.2015"	
"0.450.42.0"	"Maître garnisseur/euse de meubles industriels (DF)"	""	"24.04.2003"	"19.02.2015"	
"0.450.35.1"	"Maître menuisier/ière / Maître ébéniste (DF), abr. 2017"	""	"16.04.2015"	"12.01.2017"	
"0.450.35.0"	"Maître menuisier/ière/ébéniste (DF)"	""	"04.11.1991"	"24.01.2017"	
"0.450.26.0"	"Maître peintre (DF)"	""	"04.11.1991"	"23.02.2015"	
"0.450.11.0"	"Maître plâtrier/ière (DF)"	""	"04.11.1991"	"18.06.2026"	
"0.450.16.0"	"Maître poêlier/ière-fumiste (DF)"	""	"04.11.1991"	"23.06.2014"	
"0.450.3.0"	"Maître poseur/euse de revêtements de sols (DF)"	""	"04.11.1991"	"19.02.2015"	
"0.450.20.0"	"Maître tapissier/ière-décorateur/trice (DF)"	""	"04.11.1991"	"28.06.2023"	
"0.450.47.0"	"Maître vitrier/ière (DF)"	""	""	"03.08.2015"	
"0.450.34.7"	"Menuisier/ière (Charronnage) CFC"	""	"25.01.2013"	"20.09.2013"	
"0.450.34.8"	"Menuisier/ière (Fabrication de ski) CFC"	""	"25.01.2013"	"20.09.2013"	
"0.450.34.6"	"Menuisier/ière (Menuiserie) CFC"	""	"27.09.2005"	"25.09.2013"	
"0.450.5.1"	"Monteur/euse de faux plafonds (BF), abr. 2018"	""	"19.03.2018"	"09.01.2019"	
"0.450.2.1"	"Parqueteur/euse (CFC), abr. 2002"	""	"11.12.2003"	"14.02.2006"	
"0.450.25.0"	"Peintre CFC"	""	"04.11.1991"	"18.08.2014"	
"0.450.25.2"	"Peintre en bâtiments (CFC), abr. 2015"	""	"20.09.2013"	"18.08.2014"	
"0.450.9.3"	"Plâtrier/ière (CFC), abr. 2015"	""	"18.08.2014"	"18.08.2014"	
"0.450.9.5"	"Plâtrier/ière CFC, en procédure d'audition"	""	"13.01.2026"	"13.01.2026"	
"0.450.9.0"	"Plâtrier/ière constructeur/trice à sec CFC"	""	"04.11.1991"	"13.01.2026"	
"0.450.9.4"	"Plâtrier/ière-peintre (CFC), abr. 2015"	""	"20.08.2014"	"04.02.2015"	
"0.450.25.3"	"Plâtrier/ière-peintre (CFC), abr. 2015"	""	"20.08.2014"	"04.02.2015"	
"0.450.15.0"	"Poêlier/ière-fumiste CFC"	""	"04.11.1991"	"27.10.2010"	
"0.450.17.1"	"Poseur/euse de chapes et de sols industriels (CFC), abr. 2000"	""	"11.12.2003"	"12.06.2007"	
"0.450.2.4"	"Poseur/euse de revêtements de sols (CFC), abr. 2012"	""	"24.01.2012"	"01.02.2012"	
"0.450.2.3"	"Poseur/euse de sol - parquet (Parquets) CFC"	""	"27.09.2005"	"01.02.2012"	
"0.450.2.2"	"Poseur/euse de sol - parquet (Revêtements textiles et résilients) CFC"	""	"27.09.2005"	"01.02.2012"	
"0.450.2.0"	"Poseur/euse de sol - parquet CFC"	""	"04.11.1991"	"01.02.2012"	
"0.450.19.0"	"Responsable tapissier/ière-décorateur/trice (BF)"	""	"04.11.1991"	"27.06.2023"	
"0.450.20.1"	"Sellier/ière-tapissier/ière (Maître) (DF), abr. 1991"	""	"11.12.2003"	"13.03.2006"	
"0.450.6.0"	"Spécialiste d’aménagement intérieur (BF)"	""	"25.05.1994"	"20.08.2019"	
"0.450.5.0"	"Spécialiste en faux-plafonds (BF)"	""	"01.02.1994"	"08.01.2019"	
"0.450.20.2"	"Tapissier/ière dipl. (DF), abr. 1991"	""	"11.12.2003"	"13.03.2006"	
"0.450.21.0"	"Tapissier/ière-décorateur/trice CFC"	""	"04.11.1991"	"20.09.2019"	
"0.450.20.3"	"Tapissier/ière-décorateur/trice dipl. (DF), abr. 1991"	""	"11.12.2003"	"13.03.2006"	
"0.450.20.4"	"Tapissier/ière-poseur/euse de sols (DF), abr. 1991"	""	"11.12.2003"	"25.05.2006"	
"0.450.13.3"	"Vitrier/ière (Pose) CFC, en procédure d'audition"	""	"04.12.2025"	"04.12.2025"	
"0.450.13.2"	"Vitrier/ière (Production) CFC, en procédure d'audition"	""	"04.12.2025"	"04.12.2025"	
"0.450.13.0"	"Vitrier/ière CFC"	""	"04.11.1991"	"04.12.2025"	
"0.500.0.0"	"Industrie, technique, informatique"	""	"29.10.1991"	"26.05.2004"	
"0.500.1.0"	"Industrie, technique, informatique (divers)"	""	"26.01.2011"	""	
"0.510.0.0"	"Industrie du bois"	""	"29.10.1991"	"17.02.2004"	
"0.510.24.2"	"Artisan/e du bois (Boissellerie) CFC"	""	"26.01.2009"	"12.03.2018"	
"0.510.24.1"	"Artisan/e du bois (Tournage) CFC"	""	"26.01.2009"	"20.04.2011"	
"0.510.24.0"	"Artisan/e du bois CFC"	""	"26.03.2008"	"26.01.2009"	
"0.510.24.4"	"Boisselier/ière (CFC), abr. 2009"	""	"26.01.2009"	"11.02.2009"	
"0.510.22.1"	"Chef/fe de production de l'industrie du bois (BF), aufgeh. 2005"	""	"10.10.2005"	"02.11.2005"	
"0.510.26.0"	"Industrie du bois (divers)"	""	"26.01.2011"	""	
"0.510.20.0"	"Ingénieur/e HES du bois"	""	"04.11.1991"	"05.10.2006"	
"0.510.17.0"	"Maître charron/ne (DF), abr. 2017"	""	"04.11.1991"	"21.08.2017"	
"0.510.22.2"	"Négociant/e en bois (BF), abr. 2005"	""	"19.10.2005"	"24.10.2005"	
"0.510.25.0"	"Praticien/ne sur bois AFP"	""	"29.01.2010"	"11.10.2010"	
"0.510.23.1"	"Scieur/-euse (CFC), abr. 2007"	""	"14.11.2007"	"21.12.2007"	
"0.510.23.2"	"Scieur/euse de l'industrie du bois CFC, abr. 2022"	""	"03.12.2020"	"13.07.2021"	
"0.510.22.0"	"Spécialiste du bois (BF)"	""	"10.10.2005"	"10.09.2024"	
"0.510.23.0"	"Spécialiste en industrie du bois CFC"	""	"07.02.2007"	"13.07.2021"	
"0.510.28.1"	"Technicien/ne dipl. ES en construction en bois, abr."	""	"09.11.2022"	"09.11.2022"	
"0.510.27.1"	"Technicien/ne dipl. ES en industrie du bois, abr."	""	"18.08.2011"	"20.04.2020"	
"0.510.29.1"	"Technicien/ne dipl. ES en menuiserie-ébénisterie, abr."	""	"09.11.2022"	"09.11.2022"	
"0.510.28.2"	"Technicien/ne dipl. ES en technique du bois (spécialisation Construction en bois), abr. 2022"	""	"09.11.2022"	"07.12.2022"	
"0.510.27.4"	"Technicien/ne dipl. ES en technique du bois (spécialisation Industrie du bois), abr. 2022"	""	"18.08.2011"	"07.12.2022"	
"0.510.29.2"	"Technicien/ne dipl. ES en technique du bois (spécialisation Menuiserie), abr. 2022"	""	"09.11.2022"	"07.12.2022"	
"0.510.27.7"	"Technicien/ne dipl. ES en technique du bois, abr. 2022"	""	"19.07.2022"	"09.11.2022"	
"0.510.28.3"	"Technicien/ne dipl. ES en technique du bois, abr. 2022"	""	"09.11.2022"	"09.11.2022"	
"0.510.29.3"	"Technicien/ne dipl. ES en technique du bois, abr. 2022"	""	"09.11.2022"	"09.11.2022"	
"0.510.28.0"	"Technicien/ne dipl. ES en technique du bois, Construction en bois"	""	"09.11.2022"	"09.11.2022"	
"0.510.27.0"	"Technicien/ne dipl. ES en technique du bois, Industrie du bois"	""	"18.08.2011"	"09.11.2022"	
"0.510.29.0"	"Technicien/ne dipl. ES en technique du bois, Menuiserie/ébénisterie"	""	"09.11.2022"	"30.11.2022"	
"0.510.4.0"	"Teinteur/euse de bois (BF), abr. 2010"	""	""	"27.09.2010"	
"0.510.6.0"	"Tonnelier/ière CFC"	""	"04.11.1991"	"26.01.2009"	
"0.510.24.3"	"Tourneur/euse sur bois (CFC), abr. 2009"	""	"26.01.2009"	"11.02.2009"	
"0.520.0.0"	"Papier, emballage"	""	"29.10.1991"	"15.02.2010"	
"0.520.6.1"	"Cartonnier/ière (CFC), abr. 1995"	""	"11.12.2003"	"17.03.2006"	
"0.520.3.0"	"Conducteur/trice de machines à enveloppes (CFC), abr. 2011"	""	"04.11.1991"	"26.01.2011"	
"0.520.7.0"	"Gainier/ière (CFC), abr. 2015"	""	"04.11.1991"	"05.02.2015"	
"0.520.4.0"	"Packaging Manager (DF)"	""	"25.05.1994"	"30.04.2012"	
"0.520.5.0"	"Papetier/ière CFC"	""	"04.11.1991"	"21.09.2011"	
"0.520.8.0"	"Papier, emballage (divers)"	""	"26.01.2011"	""	
"0.520.4.1"	"Spécialiste de l'emballage"	""	"06.01.2004"	"13.01.2005"	
"0.520.6.5"	"Technologue en emballage (domaine spécifique Carton ondulé) CFC, abr. 2022"	""	"01.07.2015"	"22.12.2023"	
"0.520.6.4"	"Technologue en emballage (domaine spécifique Carton) CFC, abr. 2022"	""	"01.07.2015"	"22.12.2023"	
"0.520.6.3"	"Technologue en emballage (orientation Carton ondulé) CFC, abr. 2007"	""	"27.09.2005"	"07.12.2022"	
