"No. SD"	"Nom F"	"SB-Code"	"Créé le"	"Modifié le"
"0.130.24.0"	"Chef/fe d'exploitation viticole (BF)"	""	"04.12.2001"	"05.05.2015"	
"0.130.30.2"	"Conseiller/ère agricole"	""	"17.10.2006"	"09.11.2006"	
"0.130.30.1"	"Conseiller/ère en économie familiale"	""	"17.10.2006"	"19.08.2010"	
"0.130.30.0"	"Conseiller/ère en milieu rural dipl. (DF), abr. 2016"	""	"17.10.2006"	"18.07.2019"	
"0.130.22.0"	"Ingénieur/e agronome (U)"	""	""	"31.05.2011"	
"0.130.22.1"	"Ingénieur/e en agronomie (U)"	""	"06.04.2011"	"31.05.2011"	
"0.130.1.0"	"Ingénieur/e HES en agronomie"	""	""	"16.07.2018"	
"0.130.1.2"	"Ingénieur/e HES en agronomie, agriculture internationale"	""	"11.12.2003"	"12.03.2008"	
"0.130.1.1"	"Ingénieur/e HES en agronomie, économie agraire"	""	"11.12.2003"	"12.03.2008"	
"0.130.1.3"	"Ingénieur/e HES en agronomie, production animale"	""	"11.12.2003"	"29.04.2014"	
"0.130.1.6"	"Ingénieur/e HES en agronomie, sciences équines"	""	"29.04.2014"	"30.04.2014"	
"0.130.1.4"	"Ingénieur/e HES en agronomie, sciences végétales"	""	"11.12.2003"	"30.04.2014"	
"0.130.19.0"	"Maître agriculteur/trice (DF)"	""	"31.10.1991"	"02.02.2015"	
"0.130.21.0"	"Maître arboriculteur/trice (DF)"	""	""	"02.02.2015"	
"0.130.26.0"	"Maître maraîcher/ère (DF)"	""	""	"02.02.2015"	
"0.130.20.0"	"Maître viticulteur/trice (DF)"	""	""	"02.02.2015"	
"0.130.7.2"	"Maraîcher/ère (domaine spécifique Production biologique) CFC, abr. 2026"	""	"29.06.2015"	"07.08.2025"	
"0.130.7.0"	"Maraîcher/ère CFC"	""	""	"07.08.2025"	
"0.130.12.4"	"Paysan/ne"	""	"17.12.2003"	"16.09.2015"	
"0.130.23.1"	"Paysanne dipl. (DF), abr. 2014"	""	"25.06.2014"	"20.01.2015"	
"0.130.3.0"	"Responsable de ménage agricole / Paysanne (BF)"	""	""	"23.09.2015"	
"0.130.23.0"	"Responsable de ménage agricole dipl. / Paysanne dipl. (DF)"	""	"21.10.1999"	"23.09.2015"	
"0.130.28.0"	"Spécialiste en agriculture biodynamique (BF)"	""	"15.06.2004"	"21.12.2021"	
"0.130.6.0"	"Spécialiste en soins aux arbres (BF)"	""	"31.10.1991"	"04.11.2014"	
"0.130.17.1"	"Technicien/ne dipl. ES en agriculture, abr."	""	"06.08.2008"	"20.09.2021"	
"0.130.35.0"	"Technicien/ne vitivinicole dipl. ES"	""	"29.05.2012"	"07.04.2014"	
"0.130.16.0"	"Vacher/ère"	""	""	"10.10.2004"	
"0.130.18.4"	"Viniculteur/trice (Cave) CFC"	""	"15.04.2024"	"08.08.2025"	
"0.130.18.3"	"Viniculteur/trice (Vigne) CFC"	""	"15.04.2024"	"08.08.2025"	
"0.130.18.0"	"Viniculteur/trice CFC"	""	""	"08.08.2025"	
"0.130.24.1"	"Viticulteur/trice (BF), abr. 2013"	""	"13.11.2013"	"20.01.2014"	
"0.130.18.1"	"Viticulteur/trice (domaine spécifique Production biologique) CFC, abr. 2026"	""	"29.06.2015"	"08.08.2025"	
"0.130.18.2"	"Viticulteur/trice CFC, abr. 2026"	""	"15.04.2024"	"08.08.2025"	
"0.130.35.1"	"Viticulteur/trice vinificateur/trice dipl. ES, abr."	""	"20.09.2021"	"20.09.2021"	
"0.140.0.0"	"Élevage, soins aux animaux"	""	"30.11.1999"	"04.06.2020"	
"0.140.18.1"	"Aide-vétérinaire (CFC), abr. 1994"	""	"11.12.2003"	"14.06.2012"	
"0.140.13.0"	"Apiculteur/trice"	""	""	"10.08.2010"	
"0.140.40.0"	"Apiculteur/trice (BF)"	""	"14.09.2016"	"23.08.2018"	
"0.140.31.0"	"Assistant/e en anesthésie vétérinaire"	""	"19.11.2008"	"01.12.2008"	
"0.140.18.0"	"Assistant/e en médecine vétérinaire CFC"	""	""	"08.03.2007"	
"0.140.11.0"	"Berger/ère"	""	""	"19.10.2004"	
"0.140.29.6"	"Cavalier/ière de course (CFC), abr. 2007"	""	"24.01.2008"	"24.01.2008"	
"0.140.38.0"	"Chef/fe d'exploitation avicole (BF)"	""	"13.11.2013"	"18.04.2023"	
"0.140.27.0"	"Conducteur/trice de chiens"	""	"13.10.1991"	"30.11.2010"	
"0.140.39.0"	"Conseiller/ère en psychologie animale"	""	"20.08.2014"	"03.09.2014"	
"0.140.26.1"	"Dompteur/euse"	""	"11.12.2003"	"09.04.2024"	
"0.140.26.2"	"Dresseur/euse d'animaux"	""	"30.11.2010"	"09.04.2024"	
"0.140.21.1"	"Écuyer/ère (BF), abr. 2013"	""	"26.11.2012"	"04.06.2020"	
"0.140.29.8"	"Écuyer/ère (CFC), abr. 2007"	""	"24.01.2008"	"04.06.2020"	
"0.140.35.0"	"Élevage, soins aux animaux (divers)"	""	"26.01.2011"	"04.06.2020"	
"0.140.37.0"	"Éleveur/euse de chiens"	""	"20.09.2011"	"04.06.2020"	
"0.140.26.0"	"Entraîneur/e animalier/ière"	""	""	"10.04.2024"	
"0.140.22.0"	"Expert/e du domaine équin (DF)"	""	""	"24.11.2014"	
"0.140.2.1"	"Garde-chasse"	""	"11.12.2003"	"12.09.2005"	
"0.140.2.0"	"Garde-faune (BF)"	""	""	"15.07.2014"	
"0.140.28.0"	"Garde-pêche (BF)"	""	""	"19.10.2004"	
"0.140.19.6"	"Gardien/ne d'animaux (Animaux de compagnie) CFC"	""	"30.07.2009"	"20.04.2011"	
"0.140.19.7"	"Gardien/ne d'animaux (Animaux de laboratoire) CFC"	""	"30.07.2009"	"20.04.2011"	
"0.140.19.8"	"Gardien/ne d'animaux (Animaux sauvages) CFC"	""	"30.07.2009"	"03.02.2014"	
"0.140.19.0"	"Gardien/ne d'animaux CFC"	""	""	"17.02.2026"	
"0.140.30.1"	"Gardien/ne de cheval AFP, abr. 2014"	""	"05.08.2010"	"16.01.2014"	
"0.140.30.0"	"Gardien/ne de chevaux AFP"	""	"12.04.2007"	"09.08.2023"	
"0.140.2.3"	"Gardien/ne de parc national"	""	"11.12.2003"	"06.05.2006"	
"0.140.19.2"	"Gardien/ne de zoo"	""	"11.12.2003"	"12.09.2005"	
"0.140.32.0"	"Instructeur/trice de chiens guides d'aveugles (DF)"	""	"01.03.2010"	"02.02.2015"	
"0.140.23.0"	"Maître aviculteur/trice (DF)"	""	""	"22.11.2022"	
"0.140.22.1"	"Maître d'équitation (DF), abr. 2014"	""	"26.11.2012"	"02.02.2015"	
"0.140.27.2"	"Moniteur/trice de chiens de catastrophe"	""	"11.12.2003"	"12.09.2005"	
"0.140.29.7"	"Palefrenier/ière (CFC), abr. 2007"	""	"24.01.2008"	"24.01.2008"	
"0.140.33.0"	"Pêcheur/euse professionnel/le"	""	"20.01.2011"	"20.01.2011"	
